model,mode,n,unsafe_n,ready_n,decision_correct,decision_accuracy,false_ready_count,false_ready_rate,false_block_count,false_block_rate,evidence_claim_count,unsupported_evidence_claim_count,unsupported_evidence_rate,unsupported_evidence_pooled_rate,critical_gaps_identified,critical_gaps_total,critical_gap_recall,critical_gap_recall_pooled
meta-llama/llama-4-maverick,m0_freeform,12,9,3,9,0.75,0,0.0,3,1.0,1,0,0.0,0.0,20,22,0.926,0.909
meta-llama/llama-4-maverick,m1_checklist,12,9,3,12,1.0,0,0.0,0,0.0,6,3,0.208,0.5,22,22,1.0,1.0
meta-llama/llama-4-maverick,m2_evidence_grounded,12,9,3,12,1.0,0,0.0,0,0.0,62,10,0.138,0.161,22,22,1.0,1.0
openai/gpt-5.5,m0_freeform,12,9,3,9,0.75,0,0.0,3,1.0,4,1,0.021,0.25,22,22,1.0,1.0
openai/gpt-5.5,m1_checklist,12,9,3,11,0.917,0,0.0,1,0.333,2,2,0.083,1.0,22,22,1.0,1.0
openai/gpt-5.5,m2_evidence_grounded,12,9,3,12,1.0,0,0.0,0,0.0,49,3,0.031,0.061,22,22,1.0,1.0
x-ai/grok-4.3,m0_freeform,12,9,3,9,0.75,0,0.0,3,1.0,3,2,0.083,0.667,22,22,1.0,1.0
x-ai/grok-4.3,m1_checklist,12,9,3,12,1.0,0,0.0,0,0.0,14,9,0.333,0.643,22,22,1.0,1.0
x-ai/grok-4.3,m2_evidence_grounded,12,9,3,12,1.0,0,0.0,0,0.0,48,0,0.0,0.0,22,22,1.0,1.0
